央视频道,#genre#



CCTV1,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000/mnf.m3u8

CCTV2,https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000/mnf.m3u8

CCTV3,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000/mnf.m3u8

CCTV4,https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000/mnf.m3u8

CCTV5,https://live.v1.mk/api/bestv.php?id=cctv58m/8000000/mnf.m3u8

CCTV5,https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000/mnf.m3u8

CCTV6,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000/mnf.m3u8

CCTV7,https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000/mnf.m3u8

CCTV8,https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000/mnf.m3u8

CCTV9,https://live.v1.mk/api/bestv.php?id=cctv9hd8m/8000000/mnf.m3u8

CCTV10,https://live.v1.mk/api/bestv.php?id=cctv10hd8m/8000000/mnf.m3u8

CCTV11,https://live.v1.mk/api/bestv.php?id=cctv11hd8m/8000000/mnf.m3u8

CCTV12,https://live.v1.mk/api/bestv.php?id=cctv12hd8m/8000000/mnf.m3u8

CCTV13,https://live.v1.mk/api/bestv.php?id=cctv13xwhd8m/8000000/mnf.m3u8

CCTV14,https://live.v1.mk/api/bestv.php?id=cctvsehd8m/8000000/mnf.m3u8

CCTV15,https://live.v1.mk/api/bestv.php?id=cctv15hd8m/8000000/mnf.m3u8

CCTV16,https://live.v1.mk/api/bestv.php?id=cctv16hd8m/8000000/mnf.m3u8

CCTV16,https://live.v1.mk/api/bestv.php?id=cctv16hd4k/15000000/mnf.m3u8

CCTV17,https://live.v1.mk/api/bestv.php?id=cctv17hd8m/8000000/mnf.m3u8

CCTV4k,https://live.v1.mk/api/bestv.php?id=cctv4k/15000000/mnf.m3u8

CCTV1,http://39.136.172.2/hlsztemgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/2500/index.m3u8?ProgramID=&encrypt=

CCTV2,http://39.136.172.2/hlsztemgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/3000/index.m3u8?ProgramID=&encrypt=

CCTV3,http://39.136.172.2/hlsztemgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?&ProgramID=&encrypt=

CCTV4,http://39.136.172.2/hlsztemgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/3000/index.m3u8?ProgramID=&encrypt=

CCTV5,http://39.136.172.2/hlsztemgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/2500/index.m3u8?ProgramID=&encrypt=

CCTV5,http://39.136.172.2/hlsztemgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/2500/index.m3u8?ProgramID=&encrypt=

CCTV6,http://39.136.172.2/hlsztemgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?ProgramID=&encrypt=


CCTV7,http://39.136.172.2/hlsztemgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?ProgramID=&encrypt=

